,insc,cn2,ch2,lc2,rd2,cn,ch,lc,mt,rd
2077,6f54f756762aa9ef11bf8e978d2dfbb221d39180,514.2,594,508.5,680,496.8,424.6,443,357.1,180
2079,04cee919aca47437d8afb2b0bc41ea3df425efa9,514.1,560.6,541.7,720,453.1,611.9,514.1,564.8,480
2080,ce33df73ac80f4a2f95175c860fca19febb3105e,549,580.6,548.6,600,380.6,448.6,519.3,543.7,700
2081,0d3539779b49bd6bdc599b4362150a14f1d7c70a,501.2,467.7,499.4,600,425.2,501,367.8,417.9,540
2082,d2a533ed33aaf874e264a9eed9c1ba3253520f0c,448.5,442.3,445.6,0,440.9,391.8,547.6,489.4,600
2083,adfd7dc9af2d9e8af93d7ac17b4a40c59aeb08b0,426,557.4,428.3,580,506.8,501.8,555.7,441.7,600
2084,7cb0a304e2cc2da5018ba1c27b8b56edc5e55c71,417.6,453,475.8,500,642.5,680.6,659.2,764.4,920
2085,2115290fb8b1c9fc160b6e549f85a153b0a692c8,579.9,603.8,652.4,620,562.5,647.2,598,513.9,520
2086,5804507bbbf1c73c3d82e9167b8f3b5e60303be4,420.7,504,506.1,740,521.2,570.8,545,540.5,600
2087,0aeda4fe9e875953e289c7862e8bdf93748498fe,463.4,470,514.6,520,419.2,481,509.3,415.8,620
2088,51b1b9aca6f63e2c72e54d309235c8429c274bec,404.8,512.7,441,600,434.5,486,490.3,367.9,340
2089,4089a98e266250b15642d601e7a5a61a989d50f9,502.7,494,506.5,720,524,572.4,545.9,537.7,420
2090,ca94ed77f4953624bffb08700c110fc332779946,593.2,641.8,566,660,492.8,628.5,557.4,446,660
2092,763757a6dacada4b5c704c30d7137eacfeb4ecb4,590.1,606.1,585.3,620,550,600.6,567,637.1,600
2093,039b011a92e87d93f5aa86d6c31911d669dd61ce,389.9,534.4,491,420,384.8,441.1,553.1,416.7,500
2094,769b3277f1bed298dab13eb9bc31904a54990aab,537.8,513.2,475.8,540,448.4,559.7,508.5,409.9,600
2096,eb1cab9547965a99618f70da6c9425892a6948d9,549.8,539.1,563,640,424.5,406,505.1,511.6,440
2097,949385dd96347406dfa88d0f89d2f8791b9a58e7,375.7,536.1,511.1,480,421.4,526,550.8,379.9,600
2098,4c30eee1465b7275f3bf48b66fdfff68bd250b82,488.7,560.1,588.6,500,413.9,578.6,505.3,397.9,0
2100,be968b8358ef00d5e54ba86db05c6373a0585b67,513.5,527,578.3,600,498.3,610.8,577.4,515.2,760
2101,a79252a30a98cb0b7c472126547f040b08f26258,623,608.8,579.3,700,422.3,529.6,476.5,426.7,540
2102,bb2b5ab221a8ca4708ebe0322a7098416ac51d22,470.1,514.5,541.4,300,412.9,462.9,414.5,361.5,480
2103,1f67a7ec61ff8813c631eb388bbc2f843cfc86b7,387.3,474,529,0,443.2,502.8,574.8,479,560
2104,66d78d057ab3627525fd82e85ac00b8efdc8df54,419.7,545.7,541.5,880,478.7,514.2,483.3,476.4,480
2105,d54dec655efe753f1e715ff5ff416637369e00d0,451.3,525.6,534.6,440,464.2,569.8,559.7,390.3,540
2106,17ab920587eb707f4203be5ff472f66b2c53d923,500.4,589.3,581.1,620,603.2,600.5,633.1,627.5,820
2107,44b612b18d7f2cdce190f2fb34d8a69dabdd0059,495.8,481.7,473.3,540,445.1,474.7,567.7,435.7,520
2109,27f82ae88fdea2909c87d075b92b7d39a42f8958,563.2,591.5,511.9,240,562.2,563.7,551.5,459.6,580
2111,34333ed47110024961ff7a95cc92900ab6fbdd33,700.4,713.2,670.5,920,491.1,579.2,430,349.3,920
2112,e43b3be95a5a9179c73e5b5fa0e56a3df1603c77,450.8,517.7,519.6,420,404.6,535.2,480.1,420.1,440
2113,4d488d7073ac347275200ae32a51711bcd02afdc,487,588.1,526.7,740,416.4,573.3,517.4,403.7,460
2114,d311e97d7f0d58ad6989d84724823655565d71a7,410.4,504.1,534.4,520,439.9,474.8,434.1,379.5,340
2115,ac0d980a0c34e3a4aadb587145cfc061ffe18481,411.9,439.4,468.9,220,564.6,631.8,538.6,402.1,660
2116,ff63156e45c659f10e1353c75610a3d4d1d5ab18,429.2,426.6,534.8,500,410,539.2,580.1,403.6,620
2118,e50b29c963b6d69b0e61968b6258f32abbb7f294,380.2,456.6,458.7,500,473,386.3,426.5,343.1,460
2119,a13340ac17856d0142d2ae499938d89891e8b019,428.3,495.7,496.5,580,368.7,408.6,491.4,506.2,480
2120,c812369981a0fe8c2c188ce5ece4a3e09e9d4039,555.6,583,582.5,440,419.3,462.1,488.1,365.6,300
2121,ddae524a901986af95a6f968911f4fe10a1314b0,434.8,583.9,481.7,560,448.4,590,523.7,482.5,660
2124,085204a06b7e7733d436301b4e205e67912350a2,522.7,538.2,557.6,520,431.2,584.4,608.6,480.7,620
2125,83797d1bf8140346397218425aef1b72c0976645,512.5,556,526.8,500,554.2,604,444.8,758.9,560
2126,a05e81a0c237e756cfd95a9d46c7190e17bca596,474.7,468.5,521.8,540,409.5,469.2,415.1,413.8,360
2127,51a9cc25fc70bc7c41392f6e87b34112d5eab471,543.1,467.8,540,360,604,610.5,613.3,522,800
2128,d0090b05a2653447578c8a82000c8a0d48175670,476.9,544.7,604.2,460,523.5,590.9,526.7,618.9,760
2129,56c985d1dde932b77969703cecd82ad30fe42914,525.8,528.8,476.2,460,397.8,543,549.3,447.1,620
2130,193d6e2ffd9eef392ec716659fdc23fac1d33116,393.6,439.1,480.7,520,481.5,481.9,504.5,475.8,480
2131,71edcb6d78fbeb0509dab5efc8829fd557014af7,457.2,533.9,475.4,400,654.1,685.2,657,725.2,620
2132,bb4ec0a4a66bea29328f27b05364af97a510cee0,725.2,710.8,642.9,820,408.2,539,514.5,552.8,0
2133,8e6c319400800b218957a303350718efb973ea9c,399.1,371.6,486.7,560,471.4,472.6,535,383,500
2138,62ff4567eed9dbbc77520b29825c43acb97c4bfd,392.7,534.1,440.9,360,425.7,451.4,464.8,553.4,480
2139,76f4bd882da18961986d93e1bdfe2a2762e72af2,597.1,612.6,611.3,800,450.8,530.6,489.1,489.7,620
2141,6a116bac93936e67788904c666d69fed02a72a0e,466.6,454.1,452.6,520,582.4,623.2,578.7,584.7,620
2142,551d242608cca916b68554dd52926ac1fe622122,433.5,456.9,463.9,520,516.6,578.6,587.7,511.5,760
2144,6aa3e17c6bc83770c3d592e90f353c4be9fc0351,481.7,533,527.3,580,475.9,555.2,606.3,651.3,520
2145,24ee1a0e120d5872b0756e448fdacd3bb933af7a,392,426.6,524.4,0,612.9,618.3,582.7,652.5,880
2146,fb4535e6f0e5e2c398fc37a3203e693df2f80340,409.9,384.9,442.2,0,426.1,534.7,489.1,451.4,640
2147,dfcec8071e189e24919822f22287ef0a0bc81386,473.8,534.4,549.7,520,394.7,502.4,446.8,431.3,0
2148,88e671d571a8db540f7ce8724a5b841d8dcbfecc,449.3,475.2,497,480,503.5,554.8,584.6,555,540
2149,7ee531e6fbb5ba260c3e4a0d428d55d503113e4b,503.3,524.5,547.8,520,409.3,603,550.9,544.1,620
2150,d707bb21ea251e17f041c5ea8023aad7a24396fd,615,653.4,643.9,520,409.1,464.4,457.5,529.3,520
2151,ef45345bb0b4a09db3155554390d1e2557609f42,625.2,557.1,574.4,640,552.9,518.4,488.3,661,560
2152,8f0333d18936dba93abae9516251762a690a76d2,492.1,540.8,546.9,520,509.5,568.3,566,421.5,520
2155,b9f47d6949e5ba59c957e1e00fd80585f50293e8,404.3,462,494.1,500,494.9,568,562.7,503.6,640
2157,4bacc9a0f16d3241892e0b898da16ff2b7ec6930,378.9,417.9,455.5,560,403.7,388.2,550.1,380.5,540
2158,505b45f607e646d9e390d32c3c11d4395a14b409,530.5,607.5,630.6,820,392.1,474.5,493.8,475.7,720
2159,6c02912f351de7a84dcbc68aa622520ef2c40f0b,391.7,484.9,396.6,440,442,421.6,498.5,403.4,560
2162,54276226cd7702d18400870b3962b2ce4b20d175,612.8,649.9,642.4,520,452.3,467.9,439.8,459.5,460
2163,9efc17958d1537e4f9208def7247264edd30cee7,580.8,650.1,645.2,720,458.5,377.6,528.8,565.2,560
2164,a70a0c34d7b25af69134c15cd03b4e517c888b4b,492,509.2,481.8,540,448.7,533.1,511.5,381,500
2165,8bc2e5e17c24713e2160cf694cb7beb794cd704f,408.3,380.8,555.3,440,497,525.9,546.5,506.8,580
2166,c783511b0d8f3c4979b925ef479b06a2d18684d3,471.3,492.5,517.2,480,420.5,559.9,500.2,396.6,560
2168,9f62bf62797fd75c90c77d288cf4fcf0d5b60bc9,450.6,623.7,565,560,452.3,541.4,528.5,552.6,600
2169,0cee37077eb6a423d052323ea0deecebd51652f8,491.4,595.6,583.6,480,479.2,505,543.6,360.1,560
2172,19c25266ec728a33a700f7cebc55f1448c370dbb,454.4,622.6,572.4,600,508.6,544.5,506.9,458.8,480
2174,c5531d2aa3fd138c8299965f439e41b537f651be,565.8,653.8,631,840,457.8,620.4,638.2,516.3,800
2175,bef153124bfcc2ea04c1a5c6600dcabe1a706e95,537.3,562.3,547.4,500,378.4,504.8,507.3,411.6,400
2177,911882553e7600785185458e060737fc743906c6,410.4,443.5,473.6,420,431.6,470.2,463,504.9,520
2180,79315b89adb4e53276af59042771ceb81447020b,507.6,584.3,532.2,600,515,588.7,563,424,480
2181,40515e4d7e55b8b0c5d9e59c97270735d94629a2,487.1,562.1,517.5,640,412,495.2,518.4,343.1,440
2182,f9e5ded4a55baba43219704c50f4951176ae5f86,575.7,621,539.4,640,450.5,407.2,466.9,392.6,540
2183,78f0e8c308b8b48c6c1a537070647da6f5740177,515.4,519.3,569,560,555.7,604.5,588.1,645.2,600
2184,02c111e501fd009c58948226c189da8000b6fc70,405.6,474.8,454.6,420,408.3,532.8,529.4,443.3,540
2185,64b4038332016bb152a9b00df056f5729818e21f,481,599.3,618.6,580,425.1,495.1,436.4,362.6,480
2186,38ae8c3d97f3d32957fbc666bf9ae82dc785ba04,450.4,388,391.1,360,369.4,442.9,574.8,428.3,560
2187,5c378b023c3836ce7110247108b52a8e954d598f,461.4,524.2,486.9,480,465.3,580.5,517,593.7,580
2189,a4fdf2c550ee57562833e8bea6ef573283e2f322,448.3,517.8,379.1,480,388.5,437.7,568.6,432.4,360
2190,41f00df481bbaa9a288fc8d83ebe024d1ed1176e,630.4,619.3,619,620,454.3,446.6,518.5,386.8,560
2191,3a7a864b97d0b6ccf58c6b995100a3a6b0ec94e3,581.2,544.2,529.3,600,486.2,611.3,611,566.5,600
2192,859a7c3966999ba2d1fc4ed84e2fe4470b8cf795,596.8,645.2,657.4,600,375,524.1,495.6,418,540
2193,e71aabde890247e81e5a8be5f620cc9c0d0ccdee,435.3,537.6,468.7,580,564.4,571.3,572.2,478,540
2194,568c7baa099d6c9183ec4cb664bffbdc984a50c5,527.6,537.9,428.2,560,588.9,631.3,630.9,630.9,860
2196,b3efbaf38594d11da966cdf6867dedb2c0678db8,433.4,612.1,561,580,416.5,569.4,474.2,476.5,400
2197,2dd3dd83210e8f80016107dc4face5ea65596f1b,531.6,491.8,575.3,540,463.3,525.2,574.1,500.4,600
2198,f2ea0e27d9b9ce79c4da6d45791961feb1eda1ba,384.7,536.9,503.1,400,410.5,398.1,397.8,375.1,460
2199,834dbfc0f334a9f715cb93673aa16f0c6a1d2c08,385.6,484.6,412.1,280,427.8,531.9,516.2,454.4,520
2200,8925301dd87421e7c9e4eb2b35f5aab4de77fb1e,544,570.2,589.2,620,548.2,498,513.2,496.3,480
2201,b0b5d64b5b3abcd1341741d6a335a34938934160,438.2,465.2,528,280,493.4,634.2,575.5,585.3,600
2203,704fb62bd0b6566f9dde47a1474323f5c0696c28,462.6,500.9,523.2,580,399.1,477.3,498.9,607,480
2205,1089167bde18f546a38bf32e537d0532d2eb6115,469.9,487.8,501.6,560,564.7,621.9,544.8,486.2,700
2206,19e22e9c8981169ddad3e56e68bc150a43f7a950,513.4,420,499.6,600,542.8,578.4,610.1,416.9,520
2208,9ae5b1b7578f527337aca1c61cbc9e3221dbe6b6,535.3,610,615.5,600,532.2,585.6,532.4,339.6,740
2209,e70776594f34315ec283b3c808440351850df0a8,468.9,594.5,554.4,320,482,603.8,497.7,381.9,480
2210,6c48ad600a8846f96fe841e70b29e8526027957c,511.5,516.4,531.4,520,392.1,538.1,503,466.3,780
2212,b74495dc73b8170e08569f50c37ef54f06cf5457,535.6,599.5,586.2,800,419.6,373.5,372.6,427.9,340
2213,f4884b8499d061014beab58fc163df48c2c884fb,438.7,435.5,430.1,580,493.5,591.1,499.9,444.8,640
2214,c60b5edc405d33d60582ba9939bfb23b2b25b583,429.8,514.2,539.5,580,399.2,559,478.7,400.5,560
2215,275dbf5782d8cb4d2b444ef0a80782d9edef9307,429.4,629.5,523.6,580,552.1,605,579.9,400.3,860
2216,664d87f57ae3dbeef8615f9d75471b4d41806ce5,434.9,544.4,484.9,660,390.3,361.5,408.5,362.5,460
2217,fcbb70ca92286a3f10f6bb090135b4a5adbc3f11,615.1,586.3,613,600,413.2,576.6,519.2,468.7,400
2218,8a4391abc79c64a13e60c6aaeaf2e8e494d3aea4,473.5,598.6,534.8,680,447.6,540.4,563.3,548.6,580
2219,6faaaa082369061d6b6a99e1d3ad05736a7c34ed,408.3,501.7,484.9,500,416.1,480.6,497.7,439.7,540
2220,5c7fae8660523d891ca0136a22cdfc9e3f2d9a0c,396.4,481.6,519.6,520,565.1,591,561.2,570.7,540
2221,16be20b88a8268b954347612af7ab37636359355,591.8,599.7,543.5,880,404.2,492.1,438.4,348,380
2222,0afec8105321cc0f9a0324bfc8412407aeb0b393,525.6,613.7,587.8,920,384.5,513.2,471.7,525.4,560
2223,eef7db7d8b77abe94e29524778a1aa8ff76df781,515.4,500.6,442.9,680,431.6,563.1,533.4,374.4,800
2224,8bbd77d56ec15ba40e5ac404c0bc94869ec363cf,612.3,661.6,645.3,580,0,0,483.5,466.7,520
2225,c345a8209383cc6f3ece2e7c40dc0f4091420b39,429.7,545.2,489.8,440,443.4,555.5,531.8,410.2,440
2226,a509da1742da36cc89290f268031173d6c02dc63,419.3,342,534.7,420,481.4,550,495.1,436,520
2227,eee31941c9a15ef27896aa58eb1e86cb52740dc5,383.3,566.4,502.6,300,403.2,580.9,509.2,567.1,580
2228,0fcd8afefcf47d60b9fb87b7521cadf8ced9be57,473,571.8,573.3,620,555.5,598.5,579.2,573.3,520
2229,d433e6e4eca847b81f68148f22ba6304a1350c70,571.9,594.5,519.9,480,453.2,611.3,536,392.6,520
2233,1a476aa7e8ab945d9f2c3bdf6dd5c6b7d6da4505,420.9,559.3,494,580,414.4,485.3,492,387.5,500
2234,bd5d26e62cd45b5ce64868e1beab4778d709fc64,425.6,480.1,446.7,360,533.9,529.2,488.2,475.2,600
2235,87ebc93894abd910eab0ebb1910c974c21468d12,457.4,552.8,556.5,560,412.6,521.1,541.7,373.4,480
2236,c262a749861b72aa3c15f3afc4059d196e3067f0,367.1,510.3,506.2,520,480.4,455.6,504,463.8,680
2237,ca1a2641c7176e90d72daaf11be5736933644641,520.7,576.1,577.4,420,512.9,463.9,496.8,436,440
2238,486eb8747ea4f246bc82e9df7508909e9723facf,376,515.5,554.8,480,559.7,627.7,582.3,539.2,660
2239,5b5b113b2598a9b93ccce2777256dd0c6f080145,448.2,556.1,494,520,426.2,527.1,416.5,436.9,540
2242,4bb1c7999ea707d5631d3aef3a80177c4adbd4e8,415.8,508.5,454.3,520,421.9,447.7,500.8,387,380
2245,aefe10e88b12c2db5e2c4042ec84d542afa34436,430.5,560.6,512.3,560,405.5,429.7,543.4,496.3,420
2247,b5c4d4cdb7181da0e31484c1643ace6ea9b9ccb7,507.8,613.9,544,660,450.9,466.8,450.6,368.6,480
2249,82f87f999ef9eb885376eb293c98e0d24c1c0775,552.8,500,388.7,480,492.4,586.6,542.9,383.4,600
2250,ee671c65a415061b593dcdb6dfb69fdd3f0f3949,526.6,574.8,564.9,480,441,450.7,481.6,415.4,380
2251,88c869a5bb6c1f4e707fb69493e05a22dd92114c,523,672.7,625.1,660,435.9,481.6,431,531.6,0
2252,8c9da57e0c252738518df22422079bd0e9532ddc,433.3,513.8,479.6,520,424.6,467.5,462.9,414.4,400
2253,a02d6a43329d2e80023cf23da55028036280c246,659.3,662.7,621.7,740,609.4,586.4,586.2,626.7,560
2254,414195dc869c8936aabfd92e01dcccf05b5286c4,532.6,558.4,527.2,600,453.8,530,544.8,601,580
2256,bf1729d377b6b22a3136785945ddaed39871db12,479.4,511.2,465.1,560,475.9,574.8,614.8,499.7,480
2257,f6479bca2217f6dda8957b89a8b52527c921c89c,388.6,518.2,510.5,540,589,644.7,591.1,582.8,740
2260,1564df692d0a64c7dc1587cb6ecf5e973143b102,534.6,578.3,512.4,540,547.7,621.6,650,738.8,520
2262,66374f3a36a6304383a3aed56d7b8d38edb872a7,587.6,702,626.4,680,394.2,575.2,543.2,572.4,560
2263,968113765be995587d313248ca74216603daac3e,675.8,637.9,609.7,840,500,495.3,482.8,487,400
2264,52699793d55f39152ffc16d30cb0b732face85e2,559.8,532.5,574.3,620,571.8,546.4,555.2,507.1,460
2266,c7822ff4e20895ca953fb3fe71b6ad4078b6281b,512.5,470.2,466,560,468,482.2,442.2,549.3,440
2267,10c86fae9c84a9f8ac0e5b6f1b872b2e97928b8d,403.6,398.9,343.7,520,466.9,484.6,480.2,487.6,0
2268,c80548ba80dc06fe7f952b6d46a541477d0ec65b,456.8,532.7,568.4,360,511.2,550,585.3,484.4,620
2269,4aa241d9be745d5e47e3a8a0c1d606c9878a91df,610.7,616,627,500,388.3,515.5,480.1,339.4,0
2270,873db9c4af614a98c8177a08dc9dbc8391e2a5cc,429.4,588.5,567.7,400,449.7,430.6,526.5,432.1,540
2271,03a871e40ccef4f1d570b9cf27afb27ab6d1f35a,544.7,588.2,579.3,600,555.5,546.3,608,626.5,600
2272,5ea6829f84323da79bcc652c24a82e2374af1a98,510.5,488.7,450.2,300,498.6,612.9,603,433.9,620
2273,33e69bb3800fd41adb461fb6b2247145345634c1,458.5,597,500.1,220,479.4,620.7,593.9,480.5,520
2274,59635391444e7d9e0b8521e30e01f8926fe28204,407.7,561.2,532.9,620,544.2,656.2,582,479.9,0
2275,d932d1f79cc2f378bb062e12e4b20a8a59bc63d8,436.1,538,566.2,760,631.9,681.6,628.8,638.6,660
2276,559672741efc90bf174f3cd83609d9de577e0dea,431.7,529,536.9,480,451.9,561.9,533.1,501.9,560
2278,556802f575493ba712ede7a5f9659201f60c5043,436.1,529.6,538.6,420,444.3,474.4,454,463,420
2279,7aee63d569743515ffe766e3feacef8ad7714270,416.8,458.6,431.5,380,406,598.1,552.2,559.5,320
2280,cfd0bc5f5968e253b16d7a48a39328b7d143efa6,421.1,456.5,496,440,475.7,580,564.3,610.3,640
2281,96a358cc3423af4a6d6c0798a1d11b863367a612,450.7,510.9,515.9,760,422.4,524.9,468.8,486.4,440
2282,e7cfbcd18b8d3896bbe80fa618467f11c1e5c119,669.5,676.6,667.5,860,592.3,636.2,637.9,618.5,520
2283,a49b010075be6ea1fbe200b3a4482f8db22935bb,578,551.9,507.3,460,566.3,520.6,520.5,594.3,400
2284,aa783515ff738d23f6adae631cbf51ab58fae5b7,455.3,506.4,450.7,560,420.4,523.9,535.8,353.6,540
2286,c3705ddc7fa0f7a6c52e847cecc626ed1c29e52d,484.3,535,439,540,424.1,554.4,518.4,469.8,400
2287,510862ea3b620d1546ec1de5bd0747e9814c03b1,439.9,503.3,469.8,340,499.7,540.2,476.3,399.2,400
2288,5465919b4d336bbe836eff75f4b5938eafdb863f,477.8,496.3,381.7,320,400.9,481.6,424.4,336.7,420
2292,fc59feb8b75f22a86ef27bf267a3e7f8712b8a42,451.4,491,0,520,445.9,497.6,511.1,426.2,400
2297,171b73d1f977fa036496f24235246fe1d4b908b1,418.2,478.7,526.9,600,438.5,491.9,486,433.9,640
2299,36cbe0bcd7f87dcdf90dd80aeb0c329750494aa0,487.1,506.6,457,440,432.3,448,527.6,508.6,400
2301,0a7114f2651f9950f6b26403af84850cdfa6952e,403.9,459.8,498.6,620,517,491.5,524.2,485.7,580
2302,2e4aa161f3b3cfc370ef03b4bdeb200e4fe23d65,454.9,531.7,491.5,360,501.6,563,545.2,428.2,480
2306,a1566334143f4bdfe6c9dbb7e9d081ba11cacd14,396.9,537.8,501.6,420,459.3,618,510.8,466.3,640
2307,17588b6e96d3879ea23c2ca570e0836cd993ee07,437.9,377.1,472.1,580,475.3,417.2,471.3,592.8,380
2308,dcc85bf9eef117aaa1c1de4619d9f2f52efd7b68,398.5,486.1,495.6,340,419.4,641.3,565.7,520.8,540
2309,c5baf118bd7fba6fe5b151a3808e0a086a70a612,436.7,585,435.9,380,477.7,596.2,527.2,534.3,600
2312,77afc294bc91231448719e84c2172a01a8b14de6,534.4,604.6,537.5,600,668.3,673.9,553.3,731.9,720
2313,fe11eb3740005701931aba6ae42a0176c3b7bf94,646.2,704.5,657.5,0,407.4,551.5,622.1,422.4,760
2315,f42ba849a8b102e802c1d4eb6471114bdf2c92ca,442.4,504.2,538.3,460,521.2,568,428.6,486.5,520
2316,0e0f3edd6942644821f3a524324257f3a073ca2a,429.1,571.8,520,520,415.8,483.1,459,436.4,480
2317,23e0b51ae405dcfdbf9b9916f9e55de4e3db6aff,468.7,513.9,525.6,440,482.3,569.2,561.8,571,760
2318,f276df735911779a1ff5d835bcaf6d214d3effcb,431.5,510.7,532.7,600,369.6,498.5,527.4,426.5,500
2319,20b09a8ae57394e6cad0a2dbe1e436fb41430166,490.8,502.3,475.7,440,522.9,592.4,586.8,352.6,720
2320,298bcba6ae69f6f7d31a68dfce32acd5b1420b65,555.9,540.4,514.4,480,396.4,437.5,441.8,412.9,360
2321,6caf3bb3d3d47b7e0f94d38d2a9df42983baea52,492.7,495.7,491.6,580,392.5,555.6,534.1,349.7,520
2322,f948ef2230e786ef593c7c4a86e47620453ae8cc,505.5,570.3,527.6,680,371.6,454.1,459.2,540.3,580
2323,eeecb5149ff0cbf59351b2a42b5d71814fee6158,500.1,555.2,453,720,523.4,601.7,562.5,519.1,600
2324,ac2e0816e652cf5260cb45260a9db9a29833b15a,507.9,573,469,600,477.9,591.2,539,504.4,580
2326,1a9819a1016e7e93f904c44fc6941801552e27fb,368.1,467.5,484.5,520,458.5,595,610.2,569.4,560
2327,2a13cec7699aceeeddef567b3cf896c1e9365cab,572.2,616,479.2,480,451.3,596.1,628.7,453.8,620
2328,62ec1107cb4bd781ac13c6e4e7a0e44f27f316ee,442.2,495,481.9,560,579.6,622.3,604.8,710.6,600
2329,a3d09f8b1233436ca38409f8c2127f3a57049cb3,525,483.2,448.5,360,597.5,603,561.8,513.4,620
2330,2a289379a56b3fccb4f825808cb8cb62e3464de4,558.3,501.3,548.9,600,512.8,654.4,574.1,425,740
2331,14a62b2ff36bc2ba66fcb6b4a2401359866b1435,519.3,461.1,422.1,620,391.1,462.2,516.3,422.4,480
2332,f1f40995a03ec646ede76673c4058d4286ee5d86,663.8,711.7,681.7,820,511.2,588.1,588.5,473.3,760
2333,ea4d2f256b094b4414574ea67320c3e2204fac10,452.5,529.2,553.6,540,391.2,510.4,563,428.3,540
2334,205142cfb5053b476483020f0128e68d0ff66a4f,491.3,442,487.4,660,466.1,458.5,528.5,343.3,360
2335,974537a130b3e5947e0d114c2624859b10affa6e,552.6,574,485,540,508.2,444.6,510,413.8,620
2336,511409d7b89bbdc33908a9f7d8a88281725d30f7,625.2,696.1,663.4,740,495.8,573.1,596.5,507.2,700
2337,2fffc2354ce66a2749250070ce91113dfb3d29eb,440.8,481,494,580,432.9,576.5,558.4,508.2,560
2338,8ae80d6ac3e2828514467c5b6388ea1619ef001c,523.8,539,498.9,480,495,502.2,376.8,490,520
2340,f5187e928a06df7f5893dad371d369addd05a751,404.2,358.3,494,480,423.5,461.2,409.5,510.6,380
2341,e366080005222df476c35a67b0e008005e41916b,432.8,441.7,462,500,445,420.9,501,599.5,760
2342,c1fa33596abab41bdd213972ae7f9da1e6c4c279,405.5,490.8,419.7,0,390.6,486.6,356.8,370.9,420
2344,4eddf63f1894597b6fccb444d0b3af2fda07408f,519.1,598.8,570.3,560,385.8,444.6,394.8,366.4,360
2345,98ed70e91cd47bada7c7e04874e67081b9c0a0fb,409.2,521.9,543.6,420,446.1,490.4,467.8,419.7,300
2346,49350b0634798bde6649569eca496786e5d1bce7,615,535.4,557.9,700,439.7,386.4,462.5,464.3,300
2347,e046ad101fdafcc2bff2938bc966371938895165,471.1,473.5,531.6,480,458.5,410.4,501.2,454.8,460
2349,722d97009100f6a48bafc0d06bf27c4df3d9d0c3,547.3,543.7,512.5,700,462.4,516.9,536.8,409.1,520
2351,9b674f2aa793e02aa4cc1014cdf367ecb60b3553,641.8,667.8,643.2,520,508.4,564,570.5,356.1,580
2352,803162024415686a9cdd15cbce5ab265be727de1,418.8,490.5,457,480,429.7,496.9,529.2,405.6,520
2353,18c31ee038a03d960fff336e75fda48d49c13152,480,522.1,489.4,460,456.7,602.3,581.4,638.4,360
2354,2f4d0ba8b7960ef522a09e027c2e6b6205497075,437.4,467.4,484.7,420,435.8,463.7,448.6,513.7,240
2357,dd97e0ca3de4a5b8a02e78270b75ca0ebe203ebb,521.5,505.2,519.4,440,432.3,522.5,419.8,335.4,340
2358,1e6a6af52a2b0f254f198fc26312b8c47261aeba,390.2,464.1,520.5,320,426.7,556.3,603.6,422.8,600
2359,188cde61038965b9bc1c874f7d81f3fd7c3815f0,666.6,713.9,649,740,522,521.2,529.6,413.1,500
2360,6a2aa4caed6c6be94439dcd364528079b131287a,454.4,518.4,558.4,440,533,588,521,506.2,500
2361,c02439fcc09f72a19a3bd4e42ef9abad23b96f5a,498.1,533.3,527.5,580,437.8,523.6,487.4,583,580
2363,12357b2bb019bf1694ffe33a3218bd3bd54c45cd,495.1,547.4,569.3,460,518.4,603.6,626.3,536,760
2364,d8c79f03dc32ca0d7453c7d1f0ec0447d79f7eee,474.5,351.9,509.6,0,463.1,476.5,426.9,419.2,600
2366,75b7f61b22b17fdcc865fe1a75238f4090f25d7d,460.3,436.1,530.4,400,422.4,505.8,485.9,395.5,460
2367,92d49b237a1812dc06948114e9d1ed2ef1b46768,617.3,576.1,592.5,600,556.4,609.8,606.4,514.8,560
2368,7a48ae2165b2829894c952ab60838a7af20168e0,484.9,549,453.4,680,510,562.3,519.9,501.5,340
2369,1ad51bbf7c21c610b0ac548d521f32e674fb524f,431.1,520.8,547.4,540,504.1,444.2,472.4,531.2,400
2371,835ce6032947fb96ecde73b33b6caf66ae4e556d,497.5,569.2,556.5,480,441.7,478,385.9,397,480
2372,0d5812d99dfb4e0ed04dfd964ecaadc8ac088468,451.7,578.1,552.8,660,459.4,554.3,454.6,388.6,540
2373,425f9cc3da2ba9f7456741f422840246688bbda8,378,466.5,441,240,533.3,515.1,416.4,436.4,440
2374,b6e88ccc0391dece267c4d9b48c44490903b46b4,427.3,531.5,472.9,680,532.1,540,620.9,502.8,480
2375,d7629981932ce24db6a7b5b517fb45a596617b38,585.9,532.3,482.2,640,427.5,484.9,545.4,492.9,480
2376,310c3f8dd45384575fa7e50214be3bdef8544d34,562.7,606.6,611.4,740,458.3,508.7,422.5,364.6,360
2377,53d44c22cf452cc8853c229cf25fa07a2abf1f28,444.6,393.6,440.4,300,643.6,601.9,614.3,659.4,760
2378,13eccb901c037133fe76ecbbed58904572ff2775,456.7,579.6,511,560,434.4,536,557.7,518.6,600
2381,abc18711518dabe7e3a5b7baa7de479630772981,584.9,491.3,557.9,600,405,526.2,499.8,385.1,560
2383,11c7926b1b620266e2bc1fb8eaa0197f3f9bf9ac,468.5,524.9,485.5,420,553.3,563.6,569.1,482.7,500
2384,86c838eb84d6b2b11398ebf5a2e4702e1abac79d,388.9,565.7,446.6,540,424.8,474,475.7,457,400
